Producteur,AssemblageCepage,Millesime,Region,Pays,Contenance,ContenanceUnit,DegreeAlcool,appellation,CommBouche,CommOeil,CommNez,CommVin,Temperature,BestBefore,BestAfter,Prix,PrixDevise,DateCrawl,Couleur,UrlImage,UrlPageVin,UrlSiteSource,NomVin
Château Haut La Garde,,2017,Bordeaux,France,75,cl,13,Blayes Côtes de Bordeaux,La robe revet un pourpre dense et soutenu.,Une attaque vive et rapide sur le fruit rouge suivi de tanins suaves.,Un nez qui annonce un vin puissant aux arômes de fruits murs et de chaire de cerise.,"Le Château Haut La Garde produit depuis 1920-1930 des Côtes de Bordeaux. Depuis 2007, c'est le fils, Stéphane Lesparre, qui a repris l'affaire familiale.
",0,,,3.55,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1533557717/pp1xl0txregtlllmxo82.jpg",https://grandsvins.carrefour.fr/product/chateau-haut-la-garde-2017,https://grandsvins.carrefour.fr,Château Haut La Garde 2017
Eclat du Rhône,"Grenache, Mourvèdre",2017,Vallée du Rhône ,France ,75,cl,0,Côtes du Rhône,Une belle robe rouge grenat soutenu.,En bouche simple et juteuse.,"Gourmand au nez avec des arômes de fraise cuite, de mûre, un peu acidulé.","Située de part et d'autre du Rhône entre Vienne, Valence et Avignon, l'appellation Côtes du Rhône tire sa personnalité d'une étonnante diversité de sols, de climats et de cépages. 
",15,,,3.6,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1527237545/a6kocps1jsphyu5jjzmb.jpg",https://grandsvins.carrefour.fr/product/eclat-du-rhone-rouge-2017,https://grandsvins.carrefour.fr,Éclat du Rhône Rouge 2017
Cellier de Ramatuelle,,2017,Provence-Corse,France,75,cl,12.5,Vin de Pays de Méditerranée,La robe est d'un rose pâle et cristallin,"En bouche, le vin est suave, fin et structuré.",Le nez dévoile des arômes de fruits exotiques comme la manque et l'ananas.,"Ce vin gris, parfait à l'apéritif, est élaboré en Provence par le cellier de Ramatuelle.",9,,,3.6,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1523869906/wmhop5hhsfybm69lnfog.jpg",https://grandsvins.carrefour.fr/product/cellier-ramatuelle-gris-rose-2017,https://grandsvins.carrefour.fr,"Cellier de Ramatuelle ""Gris"" Rosé 2017"
Les Caves de Saint Ronain ,"Carignan, Grenache, Syrah, Mourvèdre",2015,Languedoc-Roussillon,France,75,cl,13,Corbières,La robe est d'un rouge sombre.,"En bouche, le vin est ample et généreux. Pourvu de tanins soyeux, le vin est à la fois puissant et équilibré.","Le nez dévoile des arômes de fruits rouges, relevés par des notes d'épices et des nuances florales.",Le domaine de Beauséjour se situe dans le Languedoc-Roussillon plus précisément au sein de l'appellation Corbières.,17,,,3.6,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1522422849/ziql9y0sb42hjp4phw8o.jpg",https://grandsvins.carrefour.fr/product/domaine-beausejour-la-crouzette-2015,https://grandsvins.carrefour.fr,"Domaine de Beauséjour ""La Crouzette"" 2015"
Les Vins de Saint-Saturnin,"Carignan (20%), Grenache (30%), Cinsault (20%), Syrah (30%)",2015,Languedoc-Roussillon,France,75,cl,13.5,Languedoc Saint-Saturnin,La robe est d'un rouge grenat.,"En bouche, le vin est ample, suave et équilibré. Pourvu de tanins soyeux, c'est un vin souple et fin.",Le nez dévoile des arômes de fruits rouges mûrs.,"Le Vin d'une Nuit est une cuvée symbolique de la cave de Saint-Saturnin, élaboré pour la première fois en 1953.",17,,,3.6,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1524836267/hnrrg7shm5054f0krlvf.jpg",https://grandsvins.carrefour.fr/product/vin-d-une-nuit-rouge-2015,https://grandsvins.carrefour.fr,Vin d'une Nuit Rouge 2015
La Cave d'Augustin Florent,"Carignan, Grenache, Syrah, Mourvèdre",2016,Languedoc-Roussillon ,France,75,cl,13.5,Saint-Chinian,La robe est d'un rouge aux reflets violacés.,"En bouche, le vin est ample et soyeux avec des arômes de mûre et d'épices.","Le nez dévoile des arômes puissants de garrigue, de laurier et de fruits noirs.",La Cave d'Augustin Florent élabore des vins typiques de l'appellation du Ventoux des vins de la Vallée du Rhône.,16,,,3.6,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1524831460/rhljju6ieqnn0ngzcxfi.jpg",https://grandsvins.carrefour.fr/product/cave-augustin-florent-saint-chinian-rouge-2016,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Saint-Chinian"" Rouge 2016"
Vinovalie,Négrette ,2016,Sud-Ouest,France,75,cl,12.5,Fronton,Une couleur rouge intense.,"En bouche, un bouquet complexe, de fruits rouges, violettes et épices. ",Au nez on retrouve de jolis fruits rouges.,"Comte de Negret est un vin que l'on retrouve non loin de la fameuse ville rose de Toulouse et plus précisément dans la ville de Fronton. Ce vin tient son nom du cépage &quot;La Négrette&quot; dont il en est issu. En effet, la Négrette nous vient directement de l'île de Chypre, il doit son nom à la peau noire du raisin. ",17,,,3.65,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516617501/tqweqzdusqqyc4grysi4.jpg",https://grandsvins.carrefour.fr/product/comte-de-negret-16,https://grandsvins.carrefour.fr,Comte de Negret 2016
La Cave d'Augustin Florent,,2016,Val de Loire ,France,75,cl,11,Cabernet d'Anjou,Une belle robe rose pourpre. ,"En bouche, une belle fraîcheur, un vin tendre et fruité. ",Un nez vif sur le fruit tel que la framboise.,La Cave d'Augustin Florent élabore un typique de Val de Loire avec ce Carbernet d'Anjou. ,10,,,3.65,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516712255/ieiuuhs8p2cqzikkjnnl.jpg",https://grandsvins.carrefour.fr/product/la-cave-augustin-florent-16,https://grandsvins.carrefour.fr,La Cave d'Augustin Florent Cabernet d'Anjou Rosé 2016
Vignerons du Mont Ventoux,"Grenache, Syrah",2016,Vallée du Rhône,France,75,cl,14,Ventoux,Une robe rubis à bord vermillon.,Une bouche onctueuse sur de beaux tanins.,Un nez très expressif aux notes d'épices orientales et de poivre.,"Les Vignerons du Mont Ventoux, offrent une large variété de terroirs. La cave des vignerons du Mont Ventoux travaille avec 120 viticulteurs sur une surface de 100 ha. ",16,,,3.7,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934404/bqn6jqfmotv45chaghoa.jpg",https://grandsvins.carrefour.fr/product/vmv-excellence-rouge-2016,https://grandsvins.carrefour.fr,VMV Excellence 2016
La Cave d'Augustin Florent,Melon Blanc,2017,Vallée de la Loire et Centre,France,75,cl,12,Muscadet Sèvre et Maine,La robe est d'un jaune clair aux reflets verts. ,"En bouche, le vin est frais et très aromatique.",Le nez révèle des arômes de fruits frais. ,"Des vins de qualité : La cave d'Augustin Florent signe ses vins et engage son nom sur cette offre. Un cahier des charges est signé pour chaque référence ; les vins sont dégustés par nos experts et contrôlés par nos laboratoires internes ou externes.
",9,,,3.7,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1531149706/zrdewynxt3rogdaicavs.jpg",https://grandsvins.carrefour.fr/product/la-cave-d-augustin-florent-2017,https://grandsvins.carrefour.fr,La Cave d'Augustin Florent Muscadet Sèvre et Maine 2017
La Cave d'Augustin Florent,Sauvignon blanc (100%),2017,Bordeaux,France,75,cl,12,AOC Entre-deux-Mers,"La robe, d'un beau jaune pâle, est belle et brillante. ","Un vin vif, dense et fruité en bouche.","Au nez, ce sont de belles notes d’agrumes et de fleurs. ","Des vins au bon rapport qualité prix : La cave d'Augustin Florent signe ses vins et engage son nom sur cette offre. Un cahier des charges est signé pour chaque référence; les vins sont dégustés par nos experts et contrôlés par nos laboratoires.
",11,,,3.7,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1538640142/cjbavakx2wnvmoc5i2ij.jpg",https://grandsvins.carrefour.fr/product/75-aoc-entre-deux-mers-bl-caf-2017-c6,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Entre-deux-Mers"" 2017"
La Cave d'Augustin Florent,"Cabernet Sauvignon, Merlot",2017,Bordeaux,France,75,cl,12.5,Blaye-Côtes-de-Bordeaux,La robe est d'une jolie couleur pourpre.,La bouche est remarquablement équilibrée. A la fois souple et rond elle jouit d'un soutien tannique ainsi qu'une solide structure.,"Le nez dévoile des notes de fruits rouges, avec une odeur épicée. ","A proximité de la Charente, situé à la rive droite de la Gironde, l'appellation blaye bénéficie d'une charte de qualité qui encourage la production de rouges de garde, élevés dix-huit mois en fût. 
",16.5,,,3.7,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1537881955/zox4ayccyl98mde0xkwa.jpg",https://grandsvins.carrefour.fr/product/blaye-cotes-de-bordeaux-rg-caf-2017,https://grandsvins.carrefour.fr,"La Cave Augustin Florent ""Blaye Côtes de Bordeaux"" 2017"
Domaine du Cormier,Cabernet Franc,2017,Val de Loire,France,75,cl,0,Cabernet d'Anjou,La robe est d'un rose soutenu aux reflets saumonés.,"En bouche, le vin est suave et rond et apporte une belle dose de fraîcheur.",Le nez révèle des arômes de fruits rouges comme la groseille ou la myrtille.,"Situé dans le Val de Loire, le Domaine du Cormier produit des vins en appellation Cabernet d'Anjou.",9,,,3.7,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1525247779/esopsjtgrdvyizbfro5l.jpg",https://grandsvins.carrefour.fr/product/domaine-du-cormier-rose-2017,https://grandsvins.carrefour.fr,Domaine du Cormier Rosé 2017
Blaissac ,,2017,Bordeaux ,France,75,cl,13,Bordeaux ,Une jolie robe rubis.,"En bouche, un vin riche, aux jolis tanins. Longue finale, bel équilibre. ",Un joli nez fruité soutenu d'une pointe d'épices.,"Un vin de Bordeaux authentique, un vin pour des instants de partage unique. 
",16,,,3.75,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1525860282/sa3jsdasca5zymlqemnu.jpg",https://grandsvins.carrefour.fr/product/blaissac-rouge-2017,https://grandsvins.carrefour.fr,Blaissac Rouge 2017
Les Menandières,Muscadet,2015,Val de Loire,France,75,cl,11.5,Muscadet Sèvre et Maine,La robe est d'un jaune pâle aux reflets verts.,"En bouche, le vin est gouleyant, fruité et rafraîchissant.",Le nez dévoiles des arômes fruités et floraux.,,9,,,3.8,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516371398/qogvsh9cya13bfxyrzrj.jpg",https://grandsvins.carrefour.fr/product/les-menandieres-15,https://grandsvins.carrefour.fr,Les Menandières 2015
Les Menandières,Muscadet,2016,Val de Loire,France,75,cl,11.5,Muscadet Sèvre et Maine,La robe est d'un jaune pâle aux reflets verts.," En bouche, le vin est riche, structuré, fumé avec quelques notes minérales et parfois balsamiques.", Le nez dévoiles des arômes fruités et floraux.,"Les muscadet-sèvre-et-maine sont à l'image des paysages : sauvages et sobres. C'est là que l'on trouve les domaines les plus réputés, autour de Vallet, la Haye-Fouassière et le Landreau.
",10,,,3.8,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1530014618/bklr6m5oxvvhq5cojeah.jpg",https://grandsvins.carrefour.fr/product/les-menandieres-16,https://grandsvins.carrefour.fr,Les Menandières Blanc 2016
Les Vignerons Réunis,,2017,Vallée du Rhône,France,75,cl,13.5,Ventoux,La robe est d'un rose pâle.,"En bouche, le vin est ample, puissant et s'exprime sur une dominante fruitée.",Le nez dévoile des arômes de fruits rouges et de bonbon anglais.,"La cuvée &quot;un été dans le Sud&quot; est produite en appellation Ventoux, dans la Vallée du Rhône.",11.5,,,3.8,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1526024245/ywwkus0r2hs8pf9wwd6k.jpg",https://grandsvins.carrefour.fr/product/un-ete-dans-le-sud-rose-2017,https://grandsvins.carrefour.fr,Un été dans le Sud Rosé 2017
